Name,Source,Region,Phone,Description,Location,Working_Hours,Latitude,Longitude,Scraped_Date,Beds,Staff_Count
Roxy Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.30149816,31.38363552,12/5/2025,240,261
Saudi German Hospital SGH Cairo (150 Beds General Hospital),Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.02160564,31.35565589,12/5/2025,240,261
Sheikh Zayed specialized Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.31160014,31.07952967,12/5/2025,240,261
Watany Eye Hospitals,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.15361916,31.47152893,12/5/2025,240,261
Zahraa University Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.49267035,31.2056509,12/5/2025,240,261
Zohairy Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.35275232,31.1516938,12/5/2025,240,261
"Agial Hospital (Assisted Reproduction), Gynecologic Endoscopy, Obstetrics & Gynecology, NICU)",Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.20143255,31.16863296,12/5/2025,240,261
Alexandria University Hospitals:,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.91868119,31.4016633,12/5/2025,240,261
Borg El Arab University Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.19118194,31.42319656,12/5/2025,240,261
"Alexandria Main University hospital (El Meery, Koleyet El Teb)",Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.20494323,31.49897547,12/5/2025,240,261
El Hadara (Queen Nariman Hospital) for Orthopaedics and Neuropsychiatry,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.35228766,31.24496057,12/5/2025,240,261
Al Salama Al jadeeda Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.38170556,31.10779422,12/5/2025,240,261
Agial Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.14220006,31.2985664,12/5/2025,240,261
Badrawy Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.03746661,31.31495683,12/5/2025,240,261
Coptic Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.02402659,31.47987165,12/5/2025,240,261
Dar ELAraby Maternity Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.11196137,31.39061731,12/5/2025,240,261
Dr. Hassab Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.37163344,31.38482303,12/5/2025,240,261
Al Helal Al Ahmar Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.04093107,31.07513987,12/5/2025,240,261
El Ma'moora Psychiatry Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.31924667,31.38941991,12/5/2025,240,261
El Maleka Nazly Paediatric Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.41273542,31.11669213,12/5/2025,240,261
El Seguini (El Sammak Hospital),Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.2292513,31.30851775,12/5/2025,240,261
Farook Ophthalmology Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.03150835,31.07984452,12/5/2025,240,261
German Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.95871284,31.10285074,12/5/2025,240,261
Gamal Abdel Nasser Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.25225388,31.03612223,12/5/2025,240,261
Saudi German Hospital (SGH),Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.11035593,31.18956507,12/5/2025,240,261
Victoria Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.34000886,31.09199853,12/5/2025,240,261
Hassab Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.93202309,31.21122739,12/5/2025,240,261
Victorya Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.35062295,31.38892541,12/5/2025,240,261
Siklam Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.05204725,31.10593078,12/5/2025,240,261
Alkawther Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.93464027,31.38668549,12/5/2025,240,261
The Egyptian Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.25994089,31.49720687,12/5/2025,240,261
Red Sea Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.17171037,31.13658364,12/5/2025,240,261
Port Ghalib Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.21850833,31.02286921,12/5/2025,240,261
Mansoura University Hospitals,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.01628581,31.25820741,12/5/2025,240,261
Sharm International Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.14922734,31.34007144,12/5/2025,240,261
El Kenayate District Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.11022318,31.35116931,12/5/2025,240,261
El Mabarah,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.17969512,31.47166779,12/5/2025,240,261
Chest Hospital (Egypt),Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.05312749,31.35108562,12/5/2025,240,261
Fever Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.23833448,31.14054201,12/5/2025,240,261
Ophthalmic Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.35300644,31.16239294,12/5/2025,240,261
Fatih MediPlex Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.2231793,31.06302749,12/5/2025,240,261
Al Haramain Specialized Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.97616865,31.26852248,12/5/2025,240,261
Anwar Al Haramain Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.09141067,31.1965874,12/5/2025,240,261
Al Taisseir Specialized Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.3315034,31.27734653,12/5/2025,240,261
Al Nasr Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.92786319,31.48097763,12/5/2025,240,261
Al Goumhoria Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.16752823,31.1179919,12/5/2025,240,261
"Aldar Hospital, Zagazig",Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.09517758,31.48446077,12/5/2025,240,261
El Delta Abdel Latif Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.16407455,31.16291821,12/5/2025,240,261
Alzakazik International Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.190616,31.31387602,12/5/2025,240,261
Al Obour Specialized Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.24125758,31.44369606,12/5/2025,240,261
Al Fatah Specialized Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.14059337,31.46820438,12/5/2025,240,261
Al Fredaws Specialized Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.98555051,31.32689339,12/5/2025,240,261
Al Forkan Specialized Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.43870981,31.09905956,12/5/2025,240,261
Al Montazah Specialized Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.29226576,31.23104463,12/5/2025,240,261
Al Nil Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.48900491,31.1411871,12/5/2025,240,261
Dr. Hamdy El Sayed Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.20512166,31.34583161,12/5/2025,240,261
Khater Specialized Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.30767322,31.2679229,12/5/2025,240,261
Saad Soliman Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.22074167,31.18066555,12/5/2025,240,261
Hemida Medical Center Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.11052741,31.39638176,12/5/2025,240,261
Makka Al Mokarrama Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.94660926,31.42085283,12/5/2025,240,261
Nour Al Eslam Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.29779987,31.40029712,12/5/2025,240,261
Waly For Surgery Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.42825571,31.04053992,12/5/2025,240,261
South Sinai Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.91310634,31.46092823,12/5/2025,240,261
Emergency – Istekbal,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.23575257,31.07946551,12/5/2025,240,261
General Medicine Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.21344704,31.40904504,12/5/2025,240,261
Specialized Medicine Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.99197628,31.05322032,12/5/2025,240,261
Mubarak Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.10801509,31.17245644,12/5/2025,240,261
New Surgery Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.40500822,31.05512554,12/5/2025,240,261
Socialized Surgery,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.07943673,31.43599162,12/5/2025,240,261
Tumor & Oncology Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.3895137,31.37830714,12/5/2025,240,261
Accidents & Trauma Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.03279659,31.28259931,12/5/2025,240,261
Economic Treatment – Iktessady,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.21706081,31.0830671,12/5/2025,240,261
"As Salam International Hospital, Corniche El Nile, Maadi",Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.25692391,31.40173233,12/5/2025,240,261
Helal Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.4293733,31.43449011,12/5/2025,240,261
International Eye Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.12998153,31.20408221,12/5/2025,240,261
Rowad Eye Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.45841517,31.44004327,12/5/2025,240,261
Dar el Oyoun Eye Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.36091919,31.32524466,12/5/2025,240,261
Maghrabi Eye Hospital & Centers,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.09046783,31.06924253,12/5/2025,240,261
Mostafa Kamel Military Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.25519908,31.32595253,12/5/2025,240,261
Palestine Hospital (Long Term Care),Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.03572473,31.20175937,12/5/2025,240,261
Boulaq Al,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.16299413,31.41478558,12/5/2025,240,261
Dar Al Fouad Hospital (Heart clinic and surgery),Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.20797717,31.10267679,12/5/2025,240,261
Mohandessin Medical Center,N/A,Giza,201280749585,"Medical Center - Departments: Orthopedics, Surgery, Internal Medicine","Rehab, Giza, Greater Cairo",8:00 AM - 8:00 PM,30.0985,31.089,12/5/2025,114,141
El Shorouk General Hospital,N/A,Cairo,201228275624,"Teaching Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","El Shorouk, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.1302,31.2931,12/5/2025,123,410
Zamalek Hospital,N/A,Giza,201626958053,"General Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Helwan, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,29.9844,31.1157,12/5/2025,464,468
Zamalek Private Clinic,N/A,Giza,201184774034,"Emergency Medical Center - Departments: Ophthalmology, Dentistry, Pharmacy","Zamalek, Giza, Greater Cairo",8:00 AM - 10:00 PM,30.0677,3104,12/5/2025,132,451
Toukh Hospital,N/A,El Qalyubia,201638027585,"General Hospital - Departments: ICU, Emergency, Trauma Center","Mahalla, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.2562,31.247,12/5/2025,136,212
Al Haram Hospital,N/A,Giza,201233732150,"Emergency Medical Center - Departments: Neurology, Psychiatry, ENT","Rehab, Giza, Greater Cairo",9:00 AM - 5:00 PM,29.9706,31.0914,12/5/2025,294,50
October 6th Surgical Hospital,N/A,Giza,201278874893,"General Hospital - Departments: ICU, Emergency, Trauma Center","October 6th, Giza, Greater Cairo",8:00 AM - 8:00 PM,30.0444,31.167,12/5/2025,79,227
Maadi Private Clinic,N/A,Cairo,201622441699,"Specialized Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Maadi, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.1416,31.2834,12/5/2025,283,193
Dar Al Baraka Hospital,N/A,Cairo,201616079674,"General Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Garden City, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.0692,31.2856,12/5/2025,157,90
El Shorouk Medical Center,N/A,Cairo,201025645629,"Teaching Hospital - Departments: Orthopedics, Surgery, Internal Medicine","El Shorouk, Cairo, Greater Cairo",9:00 AM - 5:00 PM,3072,31.2249,12/5/2025,353,60
New Giza Diagnostic Center,N/A,Giza,201193913439,"Diagnostic Center - Departments: Cardiology, Emergency Medicine, Oncology","New Giza, Giza, Greater Cairo",8:00 AM - 8:00 PM,29.9625,31.1364,12/5/2025,256,191
Dar Al Noor Hospital,N/A,Cairo,201538222143,"Specialized Hospital - Departments: Gastroenterology, Urology, Dermatology","Zamalek, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1339,31.2952,12/5/2025,82,497
Gezira General Hospital,N/A,Cairo,201216866694,"Emergency Medical Center - Departments: Pediatrics, Obstetrics, Anesthesia","Gezira, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0855,31.21,12/5/2025,30,357
Heliopolis Surgical Hospital,N/A,Cairo,201127877515,"Private Clinic - Departments: ICU, Emergency, Trauma Center","Heliopolis, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.1346,31.3153,12/5/2025,498,126
Gezira Surgical Hospital,N/A,Cairo,201599333368,"Medical Center - Departments: Cardiology, Emergency Medicine, Oncology","Gezira, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.0202,31.3319,12/5/2025,476,316
Al-Azhar University Hospital,N/A,Cairo,201597311731,"Teaching Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Nasr City, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0694,31.329,12/5/2025,240,95
Gezira Medical Center,N/A,Cairo,201090847844,"Diagnostic Center - Departments: ICU, Emergency, Trauma Center","Gezira, Cairo, Greater Cairo",9:00 AM - 5:00 PM,30.1339,31.2791,12/5/2025,485,395
Gezira Emergency Medical Center,N/A,Cairo,201536399919,"Medical Center - Departments: Pediatrics, Obstetrics, Anesthesia","Gezira, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.0661,31.3151,12/5/2025,491,414
Benha Teaching Hospital,N/A,El Qalyubia,201274098729,"Medical Center - Departments: Gastroenterology, Urology, Dermatology","Mahalla, El Qalyubia, Greater Cairo",24/7,30.0424,31.1663,12/5/2025,204,487
Maadi Emergency Medical Center,N/A,Cairo,201111156170,"Diagnostic Center - Departments: Ophthalmology, Dentistry, Pharmacy","Maadi, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.15,31.2511,12/5/2025,436,199
Benha Diagnostic Center,N/A,El Qalyubia,201594318641,"Specialized Hospital - Departments: Neurology, Psychiatry, ENT","Benha, El Qalyubia, Greater Cairo",9:00 AM - 5:00 PM,30.1583,31.3102,12/5/2025,371,81
Maadi Specialized Hospital,N/A,Cairo,201061971011,"Emergency Medical Center - Departments: Neurology, Psychiatry, ENT","Maadi, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,3056,31.3055,12/5/2025,183,91
New Cairo Emergency Medical Center,N/A,Cairo,201140052218,"Specialized Hospital - Departments: Radiology, Pathology, Lab Services","New Cairo, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.0436,31.3037,12/5/2025,227,365
Rehab Hospital,N/A,Cairo,201249580641,"Surgical Hospital - Departments: Neurology, Psychiatry, ENT","Downtown, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.0253,31.3111,12/5/2025,187,284
Toukh Medical Center,N/A,El Qalyubia,201292180944,"General Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Toukh, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.0951,31.1348,12/5/2025,173,138
Bab El-Sheria Hospital,N/A,El Qalyubia,201651726189,"Diagnostic Center - Departments: Neurology, Psychiatry, ENT","Benha, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.2152,31.2683,12/5/2025,195,436
Khanka Emergency Medical Center,N/A,El Qalyubia,201673367625,"Diagnostic Center - Departments: Radiology, Pathology, Lab Services","Khanka, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.0791,31.1151,12/5/2025,359,312
Al Noor Hospital,N/A,Cairo,201559286235,"Diagnostic Center - Departments: Neurology, Psychiatry, ENT","Mohandessin, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.0885,31.3081,12/5/2025,207,265
Ahmed Maher Teaching Hospital,N/A,Cairo,201639503663,"Emergency Medical Center - Departments: Orthopedics, Surgery, Internal Medicine","El Shorouk, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.0283,31.3297,12/5/2025,104,259
Rehab Private Clinic,N/A,Giza,201053667910,"Specialized Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Rehab, Giza, Greater Cairo",8:00 AM - 8:00 PM,29.9972,31.1895,12/5/2025,106,231
Heliopolis Private Clinic,N/A,Cairo,201118522060,"Teaching Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Heliopolis, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.1444,31.3416,12/5/2025,185,346
Mohandessin Emergency Medical Center,N/A,Cairo,201518728041,"Medical Center - Departments: Radiology, Pathology, Lab Services","Mohandessin, Cairo, Greater Cairo",24/7,30.0814,31.2348,12/5/2025,347,177
Cairo University Hospital,N/A,Cairo,201539180070,"Surgical Hospital - Departments: Neurology, Psychiatry, ENT","Heliopolis, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.1383,31.2094,12/5/2025,258,487
New Cairo Specialized Hospital,N/A,Cairo,201082777875,"Specialized Hospital - Departments: ICU, Emergency, Trauma Center","New Cairo, Cairo, Greater Cairo",9:00 AM - 5:00 PM,30.0149,31.206,12/5/2025,144,443
Khanka Private Clinic,N/A,El Qalyubia,201074133332,"Specialized Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Khanka, El Qalyubia, Greater Cairo",9:00 AM - 5:00 PM,30.2157,31.2232,12/5/2025,174,154
Ain Shams Hospital,N/A,Giza,201610056591,"Surgical Hospital - Departments: Neurology, Psychiatry, ENT","Helwan, Giza, Greater Cairo",8:00 AM - 8:00 PM,30.0437,31.0786,12/5/2025,148,86
Kasr El Nile Teaching Hospital,N/A,Cairo,201557963529,"Emergency Medical Center - Departments: Ophthalmology, Dentistry, Pharmacy","Kasr El Nile, Cairo, Greater Cairo",8:00 AM - 10:00 PM,3051,31.2487,12/5/2025,92,231
